"recipient","agency","subagency","obligation"
"AVANT ASSESSMENT LLC","Department of Defense","Department of the Army",4883674.39
"AVANT GARDE SCIENTIFIC INC","Department of Health and Human Services","National Institutes of Health",2922924.66
"AVANTCE RSI LIMITED LIABILITY COMPANY","Department of Transportation","Federal Aviation Administration",1207540.81
"AVANTGARDE LLC","Commodity Futures Trading Commission","Commodity Futures Trading Commission",1183211
"AVANTGARDE LLC","Department of Agriculture","Farm Service Agency",9398403.5
"AVANTGARDE LLC","Department of Defense","Defense Human Resources Activity",1353156
"AVANTGARDE LLC","National Science Foundation","National Science Foundation",1850208.4
"AVANTI CORPORATION","Environmental Protection Agency","Environmental Protection Agency",5201883.41
"AVANTI TECHNOLOGIES INC","Department of Defense","Department of Defense",6471706.63
"AVANTI TECHNOLOGIES INC","Department of Defense","Washington Headquarters Services",2547986.11
"AVANTTI BUILDERS GROUP LLC","Department of Transportation","Federal Aviation Administration",9437018.04
"AVAR CONSULTING INC","Department of Agriculture","Food Safety and Inspection Service",1122615.54
"AVAR CONSULTING INC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",7512628
"AVAR CONSULTING INC","Department of Labor","Office of the Assistant Secretary for Policy",1599953.55
"AVARINT LLC","Department of Defense","Department of Defense",8894078.46
"AVARINT LLC","Department of Defense","Department of the Air Force",11765110.21
"AVARIS CONCEPTS LLC","Department of Health and Human Services","Centers for Disease Control and Prevention",1777556.09
"AVARTARA LIMITED LIABILITY COMPANY","Department of Veterans Affairs","Department of Veterans Affairs",2455563.28
"AVATAR COMPUTING INC","Department of Defense","Department of the Army",10673484.85
"AVATAR ENVIRONMENTAL LLC","Department of Defense","Department of the Air Force",2184394.65
"AVATAR ENVIRONMENTAL LLC","Department of Defense","Department of the Army",2057032.27
"AVATAR ENVIRONMENTAL LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",46303583.3
"AVATAR PARTNERS INC","Department of Defense","Department of the Air Force",2521966.45
"AVAYA FEDERAL SOLUTIONS INC","Department of Defense","Defense Finance and Accounting Service",12850037.27
"AVAYA FEDERAL SOLUTIONS INC","Department of Defense","Defense Information Systems Agency",6407923.79
"AVAYA FEDERAL SOLUTIONS INC","Department of Defense","Department of the Navy",7299762.81
"AVAYA FEDERAL SOLUTIONS INC","Department of Homeland Security","Federal Emergency Management Agency",7902036.72
"AVAYA FEDERAL SOLUTIONS INC","Department of Homeland Security","Office of the Chief Procurement Officer",73832856.8
"AVAYA FEDERAL SOLUTIONS INC","Department of Homeland Security","U.S. Customs and Border Protection",8251499.15
"AVAYA FEDERAL SOLUTIONS INC","Department of Homeland Security","U.S. Immigration and Customs Enforcement",1879656.09
"AVAYA FEDERAL SOLUTIONS INC","Department of Homeland Security","U.S. Secret Service",2326292.6
"AVAYA FEDERAL SOLUTIONS INC","Department of Housing and Urban Development","Department of Housing and Urban Development",2542130.62
"AVAYA FEDERAL SOLUTIONS INC","Department of Justice","Federal Bureau of Investigation",22380639.57
"AVAYA FEDERAL SOLUTIONS INC","Department of the Treasury","Internal Revenue Service",1665874.64
"AVAYA FEDERAL SOLUTIONS INC","Department of Veterans Affairs","Department of Veterans Affairs",6907612.13
"AVAYA FEDERAL SOLUTIONS INC","Social Security Administration","Social Security Administration",20262671.93
"AVAYA GOVERNMENT SOLUTIONS INC","Department of Homeland Security","Federal Emergency Management Agency",3593947.43
"AVAYA GOVERNMENT SOLUTIONS INC","Department of Homeland Security","Office of the Chief Procurement Officer",41402498.13
"AVCO CORPORATION","Department of Transportation","Federal Aviation Administration",1623829.98
"AVCOR CONSTRUCTION LLC","Department of Health and Human Services","Food and Drug Administration",3231000
"AVENIR HEALTH FOR DEVELOPMENT LLC","Agency for International Development","Agency for International Development",2000000
"AVENTURE TECHNOLOGIES LLC","Department of Defense","Department of the Navy",20108257.57
"AVER","Department of Homeland Security","National Protection and Programs Directorate",4661594.76
"AVER","Department of Homeland Security","Office of the Under Secretary for Science and Technology",2543011.23
"AVER","Department of Homeland Security","Transportation Security Administration",1437600
"AVER","Department of Homeland Security","U.S. Citizenship and Immigration Services",2808387.2
"AVERA HEALTH","Department of Health and Human Services","Indian Health Service",2247660.3
"AVERA HEALTH","Department of Veterans Affairs","Department of Veterans Affairs",4091272.61
"AVESHKA INC","Department of Defense","Department of Defense",3666826.39
"AVESHKA INC","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",239628335.25
"AVESHKA INC","Department of Homeland Security","U.S. Coast Guard",3008881.9
"AVESHKA INC","Department of Justice","Federal Bureau of Investigation",3269498
"AVESHKA INC","Executive Office of the President","Executive Office of the President",1827952.8
"AVFLIGHT SALINA CORPORATION","Department of Defense","Defense Logistics Agency",6412801323.02
"AVI BIOPHARMA INC","Department of Defense","Defense Threat Reduction Agency",12187640.84
"AVIA BUD LIMITED LIABILITY COMPANY","Department of Defense","Department of the Navy",1362869
"AVIACOM","Department of Homeland Security","Office of the Chief Procurement Officer",5867586.61
"AVIALL SERVICES INC","Department of Defense","Department of the Air Force",23792107815.03
"AVIALL SERVICES INC","Department of Transportation","Federal Aviation Administration",30742896.3
"AVIAN ENGINEERING  LLC","Department of Defense","Department of the Navy",57631169.16
"AVIARMS SUPPORT CORP","Department of Defense","Defense Logistics Agency",6947779.45
"AVIATE ENTERPRISES INC","Department of Veterans Affairs","Department of Veterans Affairs",3868010.3
"AVIATECH CORPORATION","Department of Defense","Defense Logistics Agency",1116076.6
"AVIATION & MISSILE SOLUTIONS LLC","Department of Defense","Department of the Air Force",29681108.93
"AVIATION & MISSILE SOLUTIONS LLC","Department of Defense","Department of the Army",8172447.63
"AVIATION COMMUNICATION & SURVEILLANCE SYSTEMS LLC","Department of Defense","Defense Logistics Agency",13770507.63
"AVIATION COMMUNICATION & SURVEILLANCE SYSTEMS LLC","Department of Defense","Department of the Air Force",874257231.25
"AVIATION COMMUNICATION & SURVEILLANCE SYSTEMS LLC","Department of Defense","Department of the Navy",1269543518.17
"AVIATION DEVICES AND ELECTRONIC COMPONENTS LLC","Department of Defense","Defense Logistics Agency",389545513.51
"AVIATION DIRECT INC","Department of Defense","Department of the Army",1336634.45
"AVIATION POWER & MARINE INC","Department of Defense","Department of the Navy",1545660
"AVIATION SECURITY MANAGEMENT LLC","Department of Homeland Security","Transportation Security Administration",3486733.93
"AVIATION SPECIALTIES UNLIMITED INC","Department of State","Department of State",1454306
"AVIATION SYSTEMS ENGINEERING COMPANY INCORPORATED","Department of Defense","Department of the Navy",110252466.81
"AVIATION SYSTEMS OF NW FLORIDA INC","Department of Defense","Department of the Navy",2248375.73
"AVIATION TRAINING CONSULTING LLC","Department of Defense","Department of the Air Force",72375331.76
"AVIATION TRAINING CONSULTING LLC","Department of Defense","Department of the Navy",45953148.84
"AVIATRIX INC","Department of Defense","Defense Logistics Agency",2408702.08
"AVICENNA MEDICAL SYSTEMS INC","Department of Veterans Affairs","Department of Veterans Affairs",1142043.23
"AVID MEDICAL INC","Department of Veterans Affairs","Department of Veterans Affairs",17617325.87
"AVID TECHNOLOGY INC","Department of Defense","Defense Media Activity",4326209.65
"AVINEON INC","Department of the Treasury","Internal Revenue Service",2696430.03
"AVINOIL SA","Department of Defense","Defense Logistics Agency",336746604.16
"AVION ALLOYS INC","Department of Defense","Department of the Navy",23730893.04
"AVION INC","Department of Defense","Department of the Army",41802245.85
"AVION SOLUTIONS INC","Department of Defense","Department of the Air Force",2261753.72
"AVISAR INCORPORATED","Department of Defense","Defense Threat Reduction Agency",4371411.93
"AVISAR INCORPORATED","Department of Defense","Department of the Army",1158345.6
"AVISON CONSTRUCTION INC","Department of Defense","Department of the Navy",3220487.14
"AVITA MEDICAL AMERICAS LLC","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",49177544
"AVKARE INC","Department of Defense","Defense Logistics Agency",59349222.53
"AVKARE INC","Department of Veterans Affairs","Department of Veterans Affairs",2817412.13
"AVL INSTRUMENTATION & TEST SYSTEMS INC","Department of Defense","Department of the Army",1012744.17
"AVL INSTRUMENTATION & TEST SYSTEMS INC","Environmental Protection Agency","Environmental Protection Agency",4456080.99
"AVLITE AVIATION INC","Department of Defense","Defense Logistics Agency",1376489.57
"AVMAC LLC","Department of Defense","Department of the Navy",17127906.31
"AVMAC LLC","Department of Transportation","Maritime Administration",4131929.01
"AVMET APPLICATIONS INC","Department of Transportation","Federal Aviation Administration",1259385.71
"AVNET GOVERNMENT SOLUTIONS LLC","Department of Defense","Department of the Navy",1416701.53
"AVNET INC","Department of Defense","Defense Logistics Agency",4101042.28
"AVOLIS ENGINEERING PA","Department of Defense","Department of the Navy",3064109.15
"AVON ENGINEERED FABRICATIONS INC","Department of Defense","Defense Logistics Agency",4763916.17
"AVON ENGINEERED FABRICATIONS INC","Department of Defense","Department of the Army",55187250.94
"AVON ENGINEERED FABRICATIONS INC","Department of Defense","Department of the Navy",2130295
"AVOSYS TECHNOLOGY INC","Department of Defense","Defense Health Agency",4808619.44
"AVOSYS TECHNOLOGY INC","Department of Defense","Department of the Air Force",15709947.94
"AVOSYS TECHNOLOGY INC","Department of Defense","Department of the Army",3716712.32
"AVPOL INTERNATIONAL LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1295621.28
"AVRAM CORPORATION INC","Department of Health and Human Services","Centers for Disease Control and Prevention",5573687.19
"AVTECH RESEARCH CORPORATION","Department of Defense","Department of the Air Force",4387443.86
"AVUM INC","Department of Defense","Department of the Navy",3540564.91
"AVW TECHNOLOGIES INC","Department of Defense","Department of Defense",1058412.56
"AVWATCH INC","Department of Defense","Department of the Navy",2404425.45
"AVX AIRCRAFT COMPANY","Department of Defense","Department of the Army",1235750
"AW DEVELOPMENTS EXPORTS LTD","Department of Defense","Defense Logistics Agency",1181595.82
"AWARE INC","Department of Defense","Department of the Navy",1302311.4
"AWARE INC","Department of Justice","Offices, Boards and Divisions",1064550
"AWD MANAGEMENT SERVICES","Department of Defense","Department of the Army",3981628.11
"AWD MANAGEMENT SERVICES","Environmental Protection Agency","Environmental Protection Agency",3707727.28
"AWG SERVICES LLC","Department of Veterans Affairs","Department of Veterans Affairs",9046900.48
"AWH-BP ANNAPOLIS HOTEL LLC","Department of Defense","Department of the Navy",50962819.97
"AWR CORPORATION","Department of Defense","Department of the Navy",1835002.53
"AX ENTERPRIZE LLC","Department of Defense","Department of the Air Force",4896660
"AXEL TUCKS GMBH","Department of Defense","Department of Defense Education Activity",1286332.01
"AXIELL ALM INC","Department of Defense","Department of the Army",1267983
"AXIOM CORPORATION","Department of Defense","Defense Health Agency",5922971.18
"AXIOM CORPORATION","Department of Defense","Department of the Air Force",7619368
"AXIOM CORPORATION","Department of Defense","Department of the Army",2606132.87
"AXIOM CORPORATION","Department of Defense","Department of the Navy",5107104.86
"AXIOM CORPORATION","Department of Health and Human Services","Centers for Disease Control and Prevention",14361303.32
"AXIOM CORPORATION","Department of State","Department of State",2486661.64
"AXIOM CORPORATION","Department of Veterans Affairs","Department of Veterans Affairs",3696183.74
"AXIOM RESOURCE MANAGEMENT INC","Department of Defense","Defense Health Agency",24760711.44
"AXIOM RESOURCE MANAGEMENT INC","Department of Defense","Department of the Air Force",11951299.92
"AXIOM RESOURCE MANAGEMENT INC","Department of Defense","Department of the Navy",1126784.72
"AXIOM RESOURCE MANAGEMENT INC","National Science Foundation","National Science Foundation",3730419.45
"AXION CORPORATION","Department of Defense","Defense Logistics Agency",2474796
"AXION CORPORATION","Department of Defense","Department of the Army",1546663.5
"AXLE INFORMATICS LLC","Department of Health and Human Services","National Institutes of Health",4353526
"AXLETECH INTERNATIONAL LLC","Department of Defense","Department of the Air Force",76407053.79
"AXOM TECHNOLOGIES INC","Department of Defense","Defense Information Systems Agency",4727353.54
"AXSEUM SOLUTIONS LLC","Department of Defense","Department of the Army",11391231.47
"AXSYS TECHNOLOGIES INC","Department of Homeland Security","Office of the Chief Procurement Officer",17564510.14
"AXXUM TECHNOLOGIES LLC","Department of Homeland Security","Transportation Security Administration",24079824.27
